doc_id,true_label,pred_label,correct,text_len,num_nodes,num_edges,source,model
49,1,1,True,287,178,304,chat,gpt-4
50,1,1,True,327,167,297,how-to,cohere.command-text-v14
51,1,1,True,81,62,79,chat,gpt-3.5-turbo-instruct
52,1,0,False,85,71,90,chat,gpt-4
53,0,1,False,66,59,68,chat,human
54,1,1,True,31,32,33,chat,gpt-4
55,1,1,True,245,132,231,how-to,meta-llama/Llama-2-70b-chat-hf
56,0,1,False,167,108,174,chat,human
57,0,0,True,19,20,19,chat,human
58,0,1,False,269,154,262,how-to,human
59,1,1,True,163,105,161,chat,cohere.command-text-v14
60,0,0,True,35,29,30,chat,human
61,1,1,True,394,189,373,how-to,cohere.command-text-v14
62,0,1,False,271,143,253,how-to,human
63,1,1,True,445,195,387,how-to,gpt-3.5-turbo-instruct
64,0,0,True,10,11,10,chat,human
65,0,1,False,18,21,20,chat,human
66,0,0,True,278,135,237,how-to,human
67,0,0,True,454,208,401,how-to,human
68,1,1,True,14,16,16,chat,meta-llama/Llama-2-70b-chat-hf
69,1,1,True,422,211,419,how-to,gpt-3.5-turbo-instruct
70,1,1,True,371,207,375,how-to,gpt-4
71,1,1,True,14,13,15,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
72,0,1,False,176,104,153,chat,human
73,0,0,True,337,180,329,how-to,human
74,1,1,True,35,33,39,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
75,1,1,True,18,19,20,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
76,1,1,True,74,55,72,chat,meta-llama/Llama-2-70b-chat-hf
77,1,1,True,15,15,17,chat,gpt-3.5-turbo-instruct
78,0,0,True,78,62,81,chat,human
79,1,1,True,436,244,432,how-to,gpt-4
80,0,0,True,85,66,90,how-to,human
81,1,0,False,24,24,24,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
82,0,0,True,435,219,423,how-to,human
83,0,0,True,250,147,238,how-to,human
84,1,1,True,301,157,286,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
85,0,0,True,428,225,425,how-to,human
86,0,1,False,23,24,25,chat,human
87,1,1,True,195,133,208,chat,cohere.command-text-v14
88,1,1,True,284,152,278,how-to,meta-llama/Llama-2-70b-chat-hf
89,0,0,True,425,234,438,how-to,human
90,1,0,False,14,16,15,chat,gpt-4
91,0,0,True,141,84,120,how-to,human
92,0,1,False,170,109,167,chat,human
93,0,0,True,189,119,197,how-to,human
94,1,1,True,362,172,332,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
95,1,1,True,98,68,96,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
96,0,0,True,300,153,294,how-to,human
97,1,1,True,298,134,269,how-to,meta-llama/Llama-2-70b-chat-hf
98,0,1,False,238,129,227,how-to,human
99,1,1,True,34,35,38,chat,cohere.command-text-v14
100,0,1,False,230,128,219,how-to,human
101,1,1,True,449,203,377,how-to,gpt-3.5-turbo-instruct
102,1,0,False,27,25,21,chat,cohere.command-text-v14
103,0,0,True,27,25,25,chat,human
104,1,1,True,42,35,46,how-to,ai21.j2-ultra-v1
105,0,0,True,82,58,73,chat,human
106,0,1,False,401,192,343,how-to,human
107,1,1,True,425,244,405,how-to,gpt-4
108,1,1,True,144,113,170,chat,meta-llama/Llama-2-70b-chat-hf
109,0,0,True,103,72,102,chat,human
110,0,0,True,416,247,428,how-to,human
111,1,1,True,16,16,14,chat,gpt-4
112,1,1,True,103,63,79,chat,ai21.j2-ultra-v1
113,0,0,True,473,186,407,how-to,human
114,1,1,True,94,76,104,how-to,cohere.command-text-v14
115,1,1,True,253,138,254,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
116,1,1,True,215,142,221,chat,cohere.command-text-v14
117,1,1,True,44,42,48,chat,gpt-3.5-turbo-instruct
118,1,0,False,193,94,174,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
119,1,1,True,26,28,27,chat,ai21.j2-ultra-v1
120,0,0,True,172,90,158,how-to,human
121,0,0,True,62,52,60,chat,human
122,0,0,True,178,91,150,how-to,human
123,1,1,True,19,21,20,chat,ai21.j2-ultra-v1
124,1,1,True,31,33,34,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
125,0,0,True,112,84,125,how-to,human
126,1,1,True,39,34,35,how-to,ai21.j2-ultra-v1
127,1,0,False,35,30,34,how-to,ai21.j2-ultra-v1
128,1,1,True,341,195,350,how-to,gpt-3.5-turbo-instruct
129,1,1,True,25,26,27,chat,gpt-4
130,0,1,False,313,170,300,how-to,human
131,0,0,True,15,12,8,chat,human
132,1,1,True,241,117,218,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
133,1,1,True,34,36,37,chat,ai21.j2-ultra-v1
134,1,1,True,132,86,130,chat,gpt-3.5-turbo-instruct
135,1,1,True,244,129,210,chat,meta-llama/Llama-2-70b-chat-hf
136,1,0,False,148,91,146,how-to,cohere.command-text-v14
137,1,1,True,426,206,400,how-to,gpt-4
138,0,0,True,294,157,281,how-to,human
139,0,1,False,275,143,242,chat,human
140,0,0,True,22,21,22,chat,human
141,1,1,True,215,126,220,how-to,meta-llama/Llama-2-70b-chat-hf
142,1,1,True,429,253,446,how-to,gpt-4
143,1,0,False,26,29,29,chat,gpt-4
144,1,1,True,245,126,221,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
145,0,0,True,444,201,410,how-to,human
146,1,1,True,103,82,107,how-to,meta-llama/Llama-2-70b-chat-hf
147,0,0,True,432,238,418,how-to,human
148,1,1,True,14,15,14,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
149,0,0,True,205,121,188,how-to,human
150,0,1,False,311,157,304,how-to,human
151,1,1,True,188,106,184,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
152,1,0,False,32,27,31,chat,gpt-3.5-turbo-instruct
153,0,1,False,438,207,419,how-to,human
154,0,1,False,10,9,10,chat,human
155,0,1,False,196,95,171,chat,human
156,1,1,True,75,55,81,how-to,ai21.j2-ultra-v1
157,0,0,True,354,191,325,how-to,human
158,1,1,True,243,93,155,chat,meta-llama/Llama-2-70b-chat-hf
159,0,0,True,74,54,70,chat,human
160,1,1,True,327,208,364,how-to,gpt-4
161,0,1,False,290,165,287,chat,human
162,1,1,True,462,194,382,how-to,gpt-3.5-turbo-instruct
163,1,0,False,232,111,189,chat,cohere.command-text-v14
164,0,0,True,449,174,354,how-to,human
165,1,1,True,27,27,28,chat,gpt-3.5-turbo-instruct
166,0,1,False,164,52,80,chat,human
167,0,1,False,23,16,17,chat,human
168,1,0,False,208,123,192,chat,cohere.command-text-v14
169,0,0,True,44,43,47,chat,human
170,0,1,False,353,186,337,how-to,human
171,1,1,True,20,21,21,chat,ai21.j2-ultra-v1
172,0,0,True,223,123,192,how-to,human
173,1,1,True,337,153,284,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
174,1,1,True,238,154,244,chat,cohere.command-text-v14
175,1,1,True,398,194,386,how-to,gpt-3.5-turbo-instruct
176,1,1,True,99,71,97,chat,cohere.command-text-v14
177,1,1,True,76,50,59,chat,gpt-3.5-turbo-instruct
178,0,0,True,302,153,297,how-to,human
179,1,1,True,106,83,106,how-to,cohere.command-text-v14
180,0,1,False,40,32,41,chat,human
181,0,1,False,325,167,293,how-to,human
182,0,1,False,228,99,183,chat,human
183,1,1,True,14,16,15,chat,gpt-4
184,1,1,True,91,66,94,how-to,ai21.j2-ultra-v1
185,1,1,True,251,106,181,chat,ai21.j2-ultra-v1
186,0,0,True,449,220,431,how-to,human
187,1,1,True,431,251,441,how-to,gpt-3.5-turbo-instruct
188,1,1,True,33,31,33,chat,gpt-4
189,1,1,True,181,117,189,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
190,0,1,False,53,39,53,chat,human
191,0,1,False,15,18,17,chat,human
192,1,1,True,374,174,331,how-to,cohere.command-text-v14
193,1,1,True,331,158,309,how-to,cohere.command-text-v14
194,0,1,False,228,116,212,chat,human
195,1,1,True,56,47,58,how-to,ai21.j2-ultra-v1
196,0,0,True,218,133,227,how-to,human
197,0,1,False,225,125,224,chat,human
198,0,0,True,298,177,302,how-to,human
199,1,1,True,346,194,347,how-to,gpt-4
200,1,1,True,16,19,19,chat,gpt-3.5-turbo-instruct
201,0,0,True,231,142,219,how-to,human
202,1,1,True,39,34,39,how-to,ai21.j2-ultra-v1
203,0,0,True,92,47,56,chat,human
204,1,1,True,145,81,140,how-to,meta-llama/Llama-2-70b-chat-hf
205,0,0,True,16,16,16,chat,human
206,0,0,True,84,65,81,how-to,human
207,1,1,True,379,199,357,how-to,gpt-3.5-turbo-instruct
208,1,1,True,17,17,17,chat,ai21.j2-ultra-v1
209,0,1,False,13,14,13,chat,human
210,1,1,True,47,35,45,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
211,1,1,True,331,162,287,how-to,gpt-3.5-turbo-instruct
212,0,0,True,195,131,203,how-to,human
213,1,1,True,93,71,102,how-to,ai21.j2-ultra-v1
214,0,1,False,178,106,159,chat,human
215,1,1,True,294,165,274,how-to,gpt-4
216,0,0,True,18,17,18,chat,human
217,0,0,True,410,210,417,how-to,human
218,1,1,True,242,109,205,chat,meta-llama/Llama-2-70b-chat-hf
219,1,1,True,144,92,147,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
220,0,0,True,92,61,92,how-to,human
221,0,0,True,435,192,351,how-to,human
222,1,1,True,205,129,201,chat,gpt-3.5-turbo-instruct
223,1,1,True,230,114,188,chat,meta-llama/Llama-2-70b-chat-hf
224,0,1,False,18,18,18,chat,human
225,0,1,False,35,23,37,chat,human
226,1,0,False,104,84,107,how-to,cohere.command-text-v14
227,1,1,True,12,14,13,chat,gpt-4
228,0,0,True,12,14,13,chat,human
229,1,1,True,312,163,273,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
230,0,1,False,249,144,233,chat,human
231,1,1,True,397,162,332,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
232,0,0,True,379,175,349,how-to,human
233,1,1,True,414,210,400,how-to,cohere.command-text-v14
234,1,1,True,435,215,397,how-to,gpt-3.5-turbo-instruct
235,0,0,True,355,195,347,how-to,human
236,1,1,True,267,148,270,how-to,meta-llama/Llama-2-70b-chat-hf
237,1,1,True,240,126,213,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
238,1,1,True,61,42,61,chat,gpt-3.5-turbo-instruct
239,0,0,True,29,28,27,chat,human
240,0,1,False,201,76,134,chat,human
241,0,1,False,67,54,71,chat,human
242,0,0,True,63,51,55,chat,human
243,0,0,True,416,208,399,how-to,human
244,0,1,False,11,11,6,chat,human
245,1,1,True,198,107,180,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
246,1,1,True,180,108,181,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
247,1,1,True,160,92,151,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
248,1,1,True,83,58,82,how-to,ai21.j2-ultra-v1
249,1,1,True,22,24,26,chat,gpt-3.5-turbo-instruct
250,0,1,False,238,112,212,chat,human
251,0,0,True,183,120,180,how-to,human
252,1,0,False,42,33,44,how-to,ai21.j2-ultra-v1
253,1,1,True,110,72,107,how-to,meta-llama/Llama-2-70b-chat-hf
254,0,0,True,377,165,311,how-to,human
255,1,1,True,196,96,155,how-to,meta-llama/Llama-2-70b-chat-hf
256,1,1,True,14,16,15,chat,gpt-4
257,0,0,True,456,216,416,how-to,human
258,1,1,True,189,92,160,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
259,1,1,True,27,23,31,how-to,ai21.j2-ultra-v1
260,0,1,False,94,76,94,how-to,human
261,1,1,True,48,37,48,how-to,ai21.j2-ultra-v1
262,0,0,True,147,110,154,how-to,human
263,0,0,True,467,230,444,how-to,human
264,1,1,True,242,111,197,chat,meta-llama/Llama-2-70b-chat-hf
265,1,1,True,318,148,285,how-to,cohere.command-text-v14
266,1,1,True,306,153,277,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
267,0,0,True,38,33,37,chat,human
268,0,0,True,273,140,256,how-to,human
269,1,1,True,246,112,207,chat,meta-llama/Llama-2-70b-chat-hf
270,1,1,True,443,233,425,how-to,gpt-4
271,0,0,True,17,17,17,how-to,human
272,1,1,True,34,31,37,chat,ai21.j2-ultra-v1
273,1,1,True,86,64,83,chat,gpt-4
274,0,0,True,294,134,267,how-to,human
275,0,0,True,14,11,14,chat,human
276,1,1,True,437,230,430,how-to,gpt-3.5-turbo-instruct
277,0,0,True,434,212,394,how-to,human
278,1,1,True,11,14,12,chat,gpt-4
279,1,1,True,385,193,322,how-to,gpt-3.5-turbo-instruct
280,0,0,True,173,115,163,how-to,human
281,1,1,True,457,210,443,how-to,gpt-3.5-turbo-instruct
282,0,0,True,350,157,291,how-to,human
283,1,1,True,310,147,247,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
284,1,1,True,51,45,57,chat,gpt-3.5-turbo-instruct
285,1,1,True,447,209,397,how-to,gpt-3.5-turbo-instruct
286,0,1,False,53,47,58,chat,human
287,1,1,True,102,68,100,how-to,ai21.j2-ultra-v1
288,1,1,True,367,196,359,how-to,cohere.command-text-v14
289,1,1,True,309,164,295,chat,meta-llama/Llama-2-70b-chat-hf
290,1,1,True,147,93,133,how-to,ai21.j2-ultra-v1
291,1,1,True,207,100,193,chat,meta-llama/Llama-2-70b-chat-hf
292,0,0,True,69,49,51,chat,human
293,1,0,False,43,31,44,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
294,0,1,False,32,29,31,chat,human
295,0,0,True,12,13,13,how-to,human
296,0,0,True,22,22,23,chat,human
297,0,0,True,55,51,62,chat,human
298,1,1,True,58,31,44,how-to,ai21.j2-ultra-v1
299,1,0,False,99,69,90,chat,meta-llama/Llama-2-70b-chat-hf
300,1,1,True,26,28,32,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
301,0,1,False,125,85,105,chat,human
302,0,0,True,13,15,14,chat,human
303,0,0,True,10,12,11,chat,human
304,0,0,True,95,68,97,chat,human
305,1,1,True,277,136,278,chat,cohere.command-text-v14
306,0,0,True,20,22,23,chat,human
307,1,1,True,202,137,207,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
308,1,1,True,108,79,104,chat,gpt-3.5-turbo-instruct
309,0,0,True,10,11,10,chat,human
310,1,1,True,61,38,38,how-to,ai21.j2-ultra-v1
311,0,0,True,12,14,13,chat,human
312,0,0,True,13,14,13,chat,human
313,1,1,True,432,228,398,how-to,gpt-3.5-turbo-instruct
314,0,0,True,18,16,14,chat,human
315,1,1,True,199,77,139,chat,ai21.j2-ultra-v1
316,0,0,True,187,127,178,how-to,human
317,1,1,True,93,71,93,how-to,cohere.command-text-v14
318,1,1,True,443,245,439,how-to,gpt-3.5-turbo-instruct
319,1,1,True,37,30,34,chat,cohere.command-text-v14
320,0,0,True,18,18,17,chat,human
321,1,1,True,116,82,121,chat,gpt-3.5-turbo-instruct
322,1,1,True,98,71,95,chat,gpt-3.5-turbo-instruct
323,1,1,True,152,99,159,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
324,0,0,True,289,149,259,how-to,human
325,1,1,True,230,145,239,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
326,0,1,False,19,21,22,chat,human
327,0,1,False,428,199,375,how-to,human
328,1,1,True,286,151,265,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
329,1,1,True,94,60,91,chat,gpt-3.5-turbo-instruct
330,0,0,True,287,163,291,how-to,human
331,0,1,False,48,44,56,chat,human
332,1,1,True,92,69,96,chat,meta-llama/Llama-2-70b-chat-hf
333,0,0,True,74,56,80,chat,human
334,0,1,False,16,18,17,chat,human
335,1,1,True,119,90,138,chat,gpt-3.5-turbo-instruct
336,1,1,True,294,136,245,chat,gpt-3.5-turbo-instruct
337,1,1,True,180,91,131,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
338,0,1,False,183,114,172,chat,human
339,1,1,True,83,63,86,how-to,cohere.command-text-v14
340,1,1,True,225,157,248,chat,gpt-4
341,1,1,True,26,25,30,chat,gpt-3.5-turbo-instruct
342,0,0,True,98,65,77,chat,human
343,1,1,True,135,94,134,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
344,0,0,True,430,244,399,how-to,human
345,1,1,True,18,17,19,chat,gpt-4
346,1,1,True,175,82,148,how-to,ai21.j2-ultra-v1
347,0,1,False,12,14,13,chat,human
348,1,1,True,55,49,61,chat,meta-llama/Llama-2-70b-chat-hf
349,0,1,False,360,216,363,how-to,human
350,0,1,False,429,239,414,how-to,human
351,1,1,True,285,139,276,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
352,1,1,True,148,68,126,chat,cohere.command-text-v14
353,0,0,True,415,203,375,how-to,human
354,1,1,True,406,242,441,how-to,gpt-4
355,1,0,False,71,53,69,chat,gpt-4
356,1,1,True,417,240,384,how-to,gpt-4
357,1,0,False,14,15,15,chat,gpt-4
358,0,1,False,442,189,392,how-to,human
359,0,0,True,55,40,50,chat,human
360,1,1,True,273,159,257,chat,meta-llama/Llama-2-70b-chat-hf
361,0,0,True,320,203,334,how-to,human
362,0,0,True,186,112,178,how-to,human
363,1,1,True,66,53,71,chat,cohere.command-text-v14
364,1,1,True,20,16,12,chat,meta-llama/Llama-2-70b-chat-hf
365,1,1,True,24,25,26,chat,ai21.j2-ultra-v1
366,0,0,True,315,181,319,how-to,human
367,0,0,True,233,143,236,how-to,human
368,1,1,True,459,201,406,how-to,gpt-3.5-turbo-instruct
369,1,1,True,143,93,135,how-to,meta-llama/Llama-2-70b-chat-hf
370,0,0,True,316,173,279,how-to,human
371,1,1,True,236,102,161,chat,meta-llama/Llama-2-70b-chat-hf
372,1,1,True,125,93,135,chat,meta-llama/Llama-2-70b-chat-hf
373,1,1,True,384,186,372,how-to,cohere.command-text-v14
374,1,1,True,69,51,75,how-to,ai21.j2-ultra-v1
375,0,1,False,451,181,366,how-to,human
376,1,1,True,243,129,190,how-to,meta-llama/Llama-2-70b-chat-hf
377,1,1,True,437,204,400,how-to,gpt-3.5-turbo-instruct
378,0,1,False,238,118,191,chat,human
379,1,1,True,67,51,67,chat,ai21.j2-ultra-v1
380,1,1,True,438,175,359,how-to,cohere.command-text-v14
381,1,1,True,102,78,106,how-to,cohere.command-text-v14
382,1,1,True,21,22,21,chat,meta-llama/Llama-2-70b-chat-hf
383,0,0,True,370,216,372,how-to,human
384,0,0,True,42,31,35,chat,human
385,1,0,False,61,39,62,chat,gpt-3.5-turbo-instruct
386,1,1,True,90,69,101,how-to,cohere.command-text-v14
387,0,0,True,400,239,431,how-to,human
388,1,1,True,419,253,454,how-to,gpt-4
389,0,0,True,308,159,311,how-to,human
390,1,1,True,284,158,296,chat,meta-llama/Llama-2-70b-chat-hf
391,1,1,True,46,37,43,chat,gpt-4
392,0,0,True,60,45,58,chat,human
393,1,1,True,293,150,253,how-to,meta-llama/Llama-2-70b-chat-hf
394,0,1,False,16,17,16,chat,human
395,1,1,True,194,119,190,chat,cohere.command-text-v14
396,1,0,False,16,18,17,chat,gpt-4
397,1,1,True,28,32,36,chat,meta-llama/Llama-2-70b-chat-hf
398,1,1,True,260,105,185,how-to,meta-llama/Llama-2-70b-chat-hf
399,0,0,True,382,205,365,how-to,human
400,0,1,False,287,135,223,how-to,human
401,0,0,True,208,116,201,how-to,human
402,1,1,True,429,234,416,how-to,gpt-4
403,1,1,True,383,210,368,how-to,gpt-4
404,0,1,False,62,54,66,chat,human
405,0,1,False,424,192,390,how-to,human
406,1,1,True,154,111,170,how-to,meta-llama/Llama-2-70b-chat-hf
407,1,1,True,53,48,59,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
408,0,1,False,27,23,27,chat,human
409,0,0,True,412,211,393,how-to,human
410,1,1,True,45,40,50,how-to,ai21.j2-ultra-v1
411,1,1,True,289,168,276,chat,meta-llama/Llama-2-70b-chat-hf
412,1,0,False,319,189,308,how-to,gpt-4
413,0,0,True,237,116,217,how-to,human
414,1,0,False,209,118,192,chat,cohere.command-text-v14
415,1,1,True,182,105,180,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
416,1,1,True,124,95,128,chat,meta-llama/Llama-2-70b-chat-hf
417,0,1,False,12,14,13,chat,human
418,0,0,True,347,165,294,how-to,human
419,1,1,True,244,71,99,chat,ai21.j2-ultra-v1
420,1,1,True,186,99,175,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
421,0,1,False,198,117,187,chat,human
422,0,1,False,132,89,127,chat,human
423,1,1,True,38,40,43,chat,gpt-3.5-turbo-instruct
424,1,1,True,333,142,290,how-to,cohere.command-text-v14
425,0,0,True,428,231,425,how-to,human
426,0,0,True,197,116,180,how-to,human
427,0,0,True,343,187,318,how-to,human
428,0,0,True,391,223,410,how-to,human
429,1,1,True,204,139,212,chat,gpt-4
430,1,1,True,253,144,270,chat,cohere.command-text-v14
431,0,0,True,23,20,12,chat,human
432,0,0,True,239,130,236,how-to,human
433,1,1,True,110,72,101,chat,meta-llama/Llama-2-70b-chat-hf
434,0,0,True,195,115,190,how-to,human
435,0,0,True,166,110,172,how-to,human
436,1,1,True,218,141,214,chat,gpt-3.5-turbo-instruct
437,0,1,False,42,40,47,chat,human
438,0,1,False,211,132,228,chat,human
439,0,1,False,423,225,410,how-to,human
440,1,1,True,245,163,252,chat,meta-llama/Llama-2-70b-chat-hf
441,0,1,False,12,12,11,chat,human
442,1,1,True,97,58,87,chat,gpt-4
443,0,0,True,212,135,210,how-to,human
444,0,0,True,66,47,66,how-to,human
445,1,1,True,226,99,180,how-to,meta-llama/Llama-2-70b-chat-hf
446,0,0,True,203,126,206,how-to,human
447,1,1,True,30,31,38,chat,meta-llama/Llama-2-70b-chat-hf
448,1,1,True,67,52,70,chat,gpt-3.5-turbo-instruct
449,0,1,False,444,201,399,how-to,human
450,1,1,True,244,138,239,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
451,1,1,True,77,61,80,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
452,1,1,True,249,151,257,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
453,1,1,True,90,65,83,how-to,ai21.j2-ultra-v1
454,1,1,True,212,134,220,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
455,1,0,False,164,101,170,how-to,cohere.command-text-v14
456,1,1,True,357,189,343,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
457,1,0,False,47,42,48,chat,ai21.j2-ultra-v1
458,0,0,True,319,139,261,how-to,human
459,1,1,True,121,80,121,how-to,cohere.command-text-v14
460,1,1,True,246,147,252,how-to,gpt-3.5-turbo-instruct
461,1,1,True,412,213,403,how-to,gpt-3.5-turbo-instruct
462,1,1,True,152,101,149,chat,meta-llama/Llama-2-70b-chat-hf
463,1,1,True,416,227,421,how-to,gpt-3.5-turbo-instruct
464,1,1,True,255,151,253,how-to,meta-llama/Llama-2-70b-chat-hf
465,0,0,True,308,155,277,how-to,human
466,1,1,True,248,157,254,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
467,1,1,True,348,164,342,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
468,0,0,True,62,43,42,chat,human
469,0,0,True,258,148,260,how-to,human
470,0,1,False,163,94,127,chat,human
471,1,1,True,226,128,211,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
472,1,0,False,53,40,49,chat,cohere.command-text-v14
473,1,1,True,251,151,249,chat,cohere.command-text-v14
474,1,1,True,308,89,147,chat,meta-llama/Llama-2-70b-chat-hf
475,1,1,True,424,197,371,how-to,cohere.command-text-v14
476,0,1,False,206,97,191,chat,human
477,0,0,True,35,31,33,chat,human
478,0,0,True,102,75,105,chat,human
479,1,1,True,275,157,271,chat,cohere.command-text-v14
480,1,1,True,215,125,186,chat,meta-llama/Llama-2-70b-chat-hf
481,1,1,True,27,25,29,chat,gpt-4
482,1,1,True,86,68,93,chat,meta-llama/Llama-2-70b-chat-hf
483,1,1,True,244,107,201,chat,meta-llama/Llama-2-70b-chat-hf
484,1,1,True,249,145,240,chat,meta-llama/Llama-2-70b-chat-hf
485,1,1,True,239,141,236,how-to,meta-llama/Llama-2-70b-chat-hf
486,1,1,True,203,112,201,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
487,0,0,True,19,18,19,chat,human
488,0,1,False,232,130,216,how-to,human
489,1,1,True,38,28,37,how-to,ai21.j2-ultra-v1
490,0,1,False,11,15,14,chat,human
491,0,0,True,437,206,396,how-to,human
492,0,0,True,195,102,187,how-to,human
493,1,1,True,98,61,82,chat,mistralai/Mixtral-8x7B-Instruct-v0.1
494,1,1,True,392,193,374,how-to,gpt-4
495,1,1,True,162,94,140,how-to,meta-llama/Llama-2-70b-chat-hf
496,1,1,True,443,183,361,how-to,cohere.command-text-v14
497,0,1,False,26,25,27,chat,human
498,0,0,True,47,38,47,how-to,human
499,0,0,True,13,15,15,chat,human
500,1,1,True,99,67,93,how-to,ai21.j2-ultra-v1
501,0,0,True,248,118,192,how-to,human
502,0,1,False,19,20,19,chat,human
503,1,1,True,235,157,258,chat,gpt-4
504,0,1,False,170,94,146,chat,human
505,0,0,True,458,216,455,how-to,human
506,1,1,True,273,148,248,how-to,mistralai/Mixtral-8x7B-Instruct-v0.1
